,Unnamed: 0,corr_train,corr_test,r2_train,r2_test,num_obs,num_features,nrmse,baseline_nrmse,tumor,method,feature,measure
53,50%,0.3937223209791103,0.3455583952004706,0.1020788403298592,0.0174574519801645,180.0,1.0,0.3878312341751658,0.4108942917454167,tumor2,elastic,corum,50%
54,75%,0.5414914609296416,0.5176850181646219,0.237543361492809,0.1586596755394395,180.0,2.0,0.480955769947895,0.5052620506027441,tumor2,elastic,corum,75%
55,max,0.8971535293983766,0.9208748410576428,0.7572197437495813,0.8012876390493575,180.0,266.0,30.100944476925687,1.311672781939255,tumor2,elastic,corum,max
56,count,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,tumor2,elastic,string,count
57,mean,0.6484624407655547,0.3682455095139154,0.3550925298480893,0.0448324164882946,152.7038549183441,298.84627800987465,0.4171516964378012,0.4425259756103606,tumor2,elastic,string,mean
58,std,0.2148181329063194,0.2510201757121397,0.2525393437020365,0.5237397428078033,42.42991319021579,212.0551297152751,0.1594323579543226,0.1362854666401587,tumor2,elastic,string,std
59,min,-0.0093885538217461,-0.7698916755148267,-1.6044627628631316,-41.60626846478362,40.0,1.0,0.1657730479711001,0.1845026540434989,tumor2,elastic,string,min
60,25%,0.5644769280443194,0.1977577994739193,0.1789908079585083,-0.0568274816233997,132.0,137.0,0.3171588816423069,0.3481550364130831,tumor2,elastic,string,25%
61,50%,0.7039325424375269,0.4033583019629922,0.3767186427477075,0.0663608699384681,180.0,245.0,0.3795104336879877,0.4112059538852782,tumor2,elastic,string,50%
62,75%,0.7959597856897928,0.5618722420707569,0.5427830574591798,0.2244187991367154,180.0,416.25,0.4707119037533775,0.5056217446862289,tumor2,elastic,string,75%
63,max,0.999997952719006,0.9240669504609615,0.99998904368099,0.7664030217506713,180.0,909.0,4.784552085709895,1.311672781939255,tumor2,elastic,string,max
64,count,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,tumor2,elastic,stringhi,count
65,mean,0.474153820597369,0.3425132366572017,0.1943629320082359,-0.1907215741820465,152.78866812434643,40.966917007320085,0.4271194045829845,0.4423703051999518,tumor2,elastic,stringhi,mean
